Date,URL,Hit Sentence,Source,Influencer,Country,Language,Reach,Sentiment,State,label,day,hour
2023-09-28 13:24:00,http://twitter.com/automobilindia8/statuses/1707302641792176496,Engine Fire-Related Risks Force Kia & Hyundai to Recall Over 3 Million Cars in the US https://t.co/jI32U4ewC4 #Kia #hyundai #electriccars #Evcarsworld #evcars #enginefire #uscars #CarNews #automobile #automobilindia https://t.co/5KWFThTI7K,Twitter,@automobilindia8,India,English,2.0,Neutral,Karnataka,hyundai,28,13
2023-09-28 13:22:00,http://twitter.com/MalakpetD/statuses/1707302122419617809,"@srinualavilli @BMTC_BENGALURU Mahindra, Tata, Reliance should come up flying cars for future generation with safety precautions.",Twitter,@MalakpetD,India,English,506.0,Neutral,Telangana,tata,28,13
2023-09-28 12:23:00,http://twitter.com/DwarakaHyundai/statuses/1707287402954580390,"Rev up your week with unbeatable deals on Hyundai cars! From September 28th to October 3rd, it's time to hit the road with savings that won't wait. Don't miss out on this limited-time offer! 🏁 #HyundaiDeals ""To know more, visit our showroom or call us at +91 7337331768 . . https://t.co/Nzvk6j81SJ",Twitter,@DwarakaHyundai,India,English,55.0,Positive,Telangana,hyundai,28,12
2023-09-28 11:52:00,http://twitter.com/Oneindia/statuses/1707279719379456155,Why Hyundai And Kia Are Recalling 34 Lakh Vehicles? #Hyundai #Kia #cars https://t.co/RVwEFS0LuL,Twitter,@Oneindia,India,English,66383.0,Neutral,Delhi,hyundai,28,11
2023-09-28 10:59:00,http://twitter.com/aditya_kondawar/statuses/1707266218992832540,"4/n For many of its early years in the U.S., Kia was a low-end brand and its cars were often criticized for poor quality, reliability and design But after Hyundai Investment, Kia grew fast, started winning awards, and became a highly desired brand https://t.co/7UALeLjZp4",Twitter,@aditya_kondawar,India,English,104111.0,Positive,Maharashtra,hyundai,28,10
2023-09-28 03:08:00,http://twitter.com/Nabeelfish/statuses/1707147842693784039,"After Adani's massive expansion spree, it's going to be Sajjan Jindal's JSW which is going to be in the headlines in the next 3-5 years! Read their EV plans (battery + cars) Will be the 3rd Indian player after Mahindra & Tata https://t.co/CqJcY6VbTX",Twitter,@Nabeelfish,India,English,400.0,Neutral,Uttar Pradesh,tata,28,3
2023-09-28 00:20:00,http://twitter.com/narendodiya/statuses/1707105405955178590,"Kia and Hyundai recall 3.3 million cars, tell owners to park outside - CBS News https://t.co/AjLJGg1U87 https://t.co/z2uARc9zTQ",Twitter,@narendodiya,India,English,74.0,Neutral,Karnataka,hyundai,28,0
2023-09-27 20:09:00,https://twitter.com/AboutBazaar/statuses/1707042345060081925,🇮🇳 Top Companies by Market Share in Diesel Cars 🚗 • M&M Auto 47.2% • Hyundai 15.3% • Tata Motors 11.9% • Toyota 11.9% • Kia Motors 11.4% (Apr-Aug 2023) The companies are slowly reducing their Diesel share and focusing towards greener way 💚,Twitter,@aboutbazaar,India,English,2398.0,Positive,West Bengal,tata_hyundai,27,20
2023-09-27 20:09:00,https://twitter.com/AboutBazaar/statuses/1707042288306983409,🇮🇳 Top Companies by Market Share in Diesel Cars 🚗 • M&M Auto 47.2% • Hyundai 15.3% • Tata Motors 11.9% • Toyota 11.9% • Kia Motors 11.4% (Apr-Aug 2023) The companies are slowly reducing their Diesel share and focusing towards greener way 💚,Twitter,@aboutbazaar,India,English,2398.0,Positive,West Bengal,tata_hyundai,27,20
2023-09-27 20:04:00,https://twitter.com/AdiUdaykiran/statuses/1707040979319222339,@KammaraUngamma Tata car between to damaged cars IRIKINCHADAM ki perfect example,Twitter,@adiudaykiran,India,English,353.0,Neutral,Telangana,tata,27,20
2023-09-27 19:34:00,https://twitter.com/rrajeshroy/statuses/1707033536551596318,"QT @ActualIndia: Just a normal accident #Swift #kia cars failed and damaged the bonet due to poor quality, but #Tata car did not fail still its build quality of tata #India #Car #quality #accident https://t.co/KUNYwj9vdU ; Power of a #TATA Car 👊 The safety and build quality of Kia and Maruthi vehicles is a joke 😂 https://t.co/ECyKEXxj9V",Twitter,@rrajeshroy,India,English,32.0,Negative,Maharashtra,tata,27,19
2023-09-27 18:56:00,https://twitter.com/Ajeet1994/statuses/1707023979955810465,Hyundai and Kia recall over 34 lakh cars to fix THIS problem I Check if your car needs a replacement #Hyundai #Kia #KiaMotors @Hyundai @Kia https://t.co/g0PwK3OPjw,Twitter,@ajeet1994,India,English,219.0,Neutral,Delhi,hyundai,27,18
2023-09-27 17:35:00,http://twitter.com/flowofbytes/statuses/1707003412972474486,@FasBeam Non of them.... I love to buy tata cars. Desh ki dhadkhan. Build quality Is new norm,Twitter,@flowofbytes,India,English,28.0,Positive,Karnataka,tata,27,17
2023-09-27 16:22:00,http://twitter.com/saransh99/statuses/1706985240533852275,RT @finologyticker: Top Companies by Market Share in Diesel Cars 🚗 • M&M Auto 47.2% • Hyundai 15.3% • Tata Motors 11.9% • Toyota 11.9% • Kia Motors 11.4% (Apr-Aug 2023) The companies are slowly reducing their Diesel share and focusing towards greener way 💚,Twitter,@saransh99,India,English,767.0,Positive,Madhya Pradesh,tata_hyundai,27,16
2023-09-27 15:49:00,https://twitter.com/finologyticker/statuses/1706976901166731718,Top Companies by Market Share in Diesel Cars 🚗 • M&M Auto 47.2% • Hyundai 15.3% • Tata Motors 11.9% • Toyota 11.9% • Kia Motors 11.4% (Apr-Aug 2023) The companies are slowly reducing their Diesel share and focusing towards greener way 💚,Twitter,@finologyticker,India,English,111195.0,Positive,Chhattisgarh,tata_hyundai,27,15
2023-09-27 15:36:00,http://twitter.com/ransh29/statuses/1706973700032254117,"@TamilTheHindu Why this drama master says 40% elec vehicles from TN. Only scooters & a few Hyundi cars r from TN. Eletric buses& Tata motors ,KIA make 90% outside TN.",Twitter,@ransh29,India,English,5.0,Neutral,Maharashtra,tata,27,15
2023-09-27 15:17:00,https://twitter.com/DwarakaHyundai/statuses/1706968732894192116,"""🚗 Rev up your week with unbeatable deals on Hyundai cars! From September 27th to October 3rd, it's time to hit the road with savings that won't wait. Don't miss out on this limited-time offer! 🏁 #HyundaiDeals #GreatDealOnWheels"" contact us 7337331768 https://t.co/ZvxteJ2x1X",Twitter,@dwarakahyundai,India,English,55.0,Positive,Telangana,hyundai,27,15
2023-09-27 14:15:00,http://twitter.com/ClassicMotors10/statuses/1706953305161908703,"2019 Tata Nexon XZ Plus, Petrol, Manual, Kms - 27007, 1st Owner, Price - 7,90,000/- in Borivali Mumbai, Maharashtra #cars #buynow #certified #customerservice #tata #tatanexon #automaticcars #manualcars #dsg #cvt #turbo #amtcars #turbocharger #electriccars https://t.co/dZrPtErCJW",Twitter,@ClassicMotors10,India,English,14.0,Neutral,Maharashtra,tata,27,14
2023-09-27 13:26:00,http://twitter.com/TOIAuto/statuses/1706940869784555889,Here are 10 familiar Indian cars and bikes that are sold in Canada as well: From Tata Safari to Royal Enfield Classic 350. https://t.co/0XCuywXDhL @TataMotors_Cars @royalenfield @HyundaiIndia @KiaInd @Toyota_India #CanadaNews #India #Automotive #cars #motorcycles #royalenfield,Twitter,@TOIAuto,India,English,8949.0,Positive,Delhi,tata,27,13
2023-09-27 12:57:00,http://twitter.com/Vipin_rider/statuses/1706933665266340220,@TataMotors @TataMotors_Cars Please tell me if puncture repair kit is offered with New Tata Cars..i.e Tata Altroz..?? Dealer saying it is no more offered with tata altroz..,Twitter,@Vipin_rider,India,English,8.0,Neutral,Tamil Nadu,tata,27,12
2023-09-27 12:56:00,http://twitter.com/Vipin_rider/statuses/1706933369563693066,RT @Vipin_rider: @TataMotors_Cars @TataMotors @TataCompanies Please tell me if puncture repair kit is offered with New Tata Cars..i.e Tata Altroz..?? Dealer saying it is no more offered with tata altroz.,Twitter,@Vipin_rider,India,English,8.0,Neutral,Tamil Nadu,tata,27,12
2023-09-27 12:31:00,http://twitter.com/ModiHyundai/statuses/1706927018905149742,Explore the world with Hyundai. Our cars and our best wishes are always there to accompany you on your rides. Happy World Tourism Day! #ModiHyundai #Hyundai #HyundaiIndia #WorldTourismday #Tourism #Travellove https://t.co/vVgB9ITC8O,Twitter,@ModiHyundai,India,English,204.0,Positive,Maharashtra,hyundai,27,12
2023-09-27 10:27:00,http://twitter.com/iamanikghosh/statuses/1706895932296708336,"@TataMotors @RNTata2000 Facing severe issues during Punch delivery from TC Motors showroom. They are trying to sell dented and disclrd vehicle saying TATA Cars are like this only. My Car loan already started, but not got vehicle. Complaint No.- 5-168767825619 https://t.co/hUU1rG13oV",Twitter,@iamanikghosh,India,English,32.0,Negative,West Bengal,tata,27,10
